usim	latitude	longitude
01231322634	37.462	126.918
01231321743	37.474	126.952
01227587411	35.869	128.546
01227587886	35.946	128.549
01227587639	36.099	128.537
01231322132	37.58	129.111
01232971975	34.975	128.323
01227587154	35.976	128.555
01227587389	35.99	129.223
01227587481	35.892	129.05
01227587846	35.84	128.61
01227587849	35.84	128.61
01227587328	35.913	128.641
01227579483	35.879	128.399
01227587392	35.966	129.415
01227587621	36.119	128.124
01227587626	36.577	128.576
01227587738	36.241	128.3
01227587438	35.988	129.356
01227587446	35.843	129.181
01227587663	36.128	128.101
01227587231	36.214	128.333
01227587614	36.652	128.456
01227587615	36.863	129.404
01227587792	37.012	129.409
01227587705	36.249	128.568
01227500700	35.9	128.867
01227587662	36.47	128.663
01227587642	35.813	129.187
01227587106	36.002	129.075
01227587721	37.059	129.418
01227587667	36.068	129.371
01227587190	35.98	128.978
01227587404	36.549	128.733
01227587596	35.867	129.221
01227587550	35.774	128.423
01227587851	35.774	128.423
01227587743	36.366	128.296
01227587749	35.956	128.692
01227587746	36.578	128.716
01227587624	36.513	128.157
01227587519	35.91	128.636
01227587383	35.91	128.636
01227587330	36.882	128.749
01227587785	36.678	129.44
01227587320	35.832	128.537
01227587362	35.813	128.524
01227509914	35.855	128.599
01227579562	35.87	128.591
01227587572	35.865	128.596
01227587025	35.87	128.603
01227587394	36.732	129.475
01227587712	35.936	128.464
01227587881	35.875	128.623
01227587548	35.829	128.692
01227587475	36.562	128.702
01227587856	35.645	128.74
01227587820	35.858	128.636
01227587633	36.834	129.436
01227587841	35.817	128.752
01227587869	35.854	128.615
01227587114	35.814	128.774
01227587357	35.635	128.901
01227587527	35.959	128.915
01227587400	36.085	128.359
01227587546	36.085	128.359
01227587559	36.11	129.347
01227587388	36.718	129.356
01227587695	36.719	129.394
01227587578	36.801	128.61
01227587646	36.032	129.366
01227587685	36.813	128.621
01227587817	36.367	128.685
01227587509	36.665	128.614
01227587822	35.86	129.268
01227587622	35.774	129.301
01227500595	36.166	128.98
01227587697	35.803	128.622
01227587813	35.755	128.737
01227587798	35.791	128.841
01231300268	36.977	127.928
01227587593	35.831	128.194
01231300061	35.114	126.78
01227587483	36.35	129.382
01231300092	36.963	127.871
01227728286	37.028	127.918
01227587369	36.926	129.261
01227587771	35.911	128.816
01227587623	36.411	129.368
01227587486	36.89	128.733
01231300120	36.936	127.691
01231300129	36.989	127.928
01227587341	35.987	128.405
01231307908	35.167	129.033
01227587515	35.987	128.405
01227587666	36.516	129.432
01231307992	35.154	129.021
01227587681	36.919	128.426
01227587103	35.75	129.201
01231307479	35.142	129.034
01227587588	36.54	129.405
01227587595	35.896	128.804
01227587767	35.915	128.821
01227587612	35.81	129.487
01231300574	36.61	127.489
01231307561	35.537	129.31
01231300006	35.058	126.518
01231307607	35.568	129.359
01231307744	35.568	129.359
01227721327	34.768	127.696
01227587497	36.008	129.336
01227587698	36.235	128.565
01227587493	36.008	129.336
01231300018	35.156	126.867
01231300028	35.257	126.505
01231307735	35.684	127.916
01227587600	36.975	128.649
01227587093	36.937	128.913
01231300252	36.548	127.431
01231307752	35.536	129.252
01231322632	36.613	127.476
01231307872	35.077	128.99
01227588061	34.956	127.535
01227588053	35.191	126.855
01227587249	36.012	128.707
01227586650	35.218	126.842
01231307618	35.418	127.872
01227587911	34.934	127.489
01231307976	35.183	129.106
01231300189	35.196	126.838
01227588033	34.953	127.485
01231307972	35.191	129.086
01227588077	34.605	127.787
01231300227	37.132	128.202
01231307716	35.183	129.08
01227587725	35.844	129.233
01227587485	35.842	128.487
01231300007	37.182	128.196
01227587471	35.842	128.487
01227729736	35.19	126.814
01231300316	36.968	127.486
01227729488	34.734	127.725
01231307795	35.825	127.148
01231307748	34.975	128.331
01227587031	34.734	127.725
01231316267	36.784	127.005
01227723476	33.248	126.569
01231300551	36.484	127.717
01231300144	36.784	127.005
01231300067	33.265	126.567
01231300022	33.263	126.616
01231300083	35.19	126.824
01231307572	34.867	128.442
01231307533	34.867	128.442
01231308024	35.173	129.097
01231300436	36.926	127.474
01231300052	35.208	126.809
01231307906	35.155	129.131
01231307672	34.841	128.42
01231308165	35.242	129.214
01231300071	36.198	127.756
01231307934	35.167	129.122
01231307547	35.078	129.063
01231300504	36.195	127.755
01231300333	36.934	127.333
01231300137	34.92	126.747
01231307823	35.153	129.112
01231307410	35.071	129.069
01227723653	35.309	127.429
01227587834	34.978	127.583
01227727556	33.494	126.679
01231307569	35.078	129.07
01227588038	34.965	127.555
01231300105	34.938	126.712
01231300367	36.312	127.578
01231307602	35.249	128.871
01231307713	35.627	129.354
01231300549	36.312	127.578
01227587671	35.173	126.808
01231300314	37.146	128.213
01231300281	37.146	128.213
01231300233	36.99	127.934
01231307278	35.632	129.35
01227729624	35.216	126.849
01231307601	35.56	129.337
01227587448	36.11	128.419
01231307512	35.56	129.337
01227587443	36.11	128.419
01231300049	36.777	126.494
01231300309	36.777	126.494
01227587470	34.572	126.609
01227587293	36.138	128.443
01227587508	36.138	128.443
01231307770	35.086	128.88
01227587575	34.873	127.706
01231300155	36.437	126.797
01231300283	36.437	126.797
01231307626	35.323	129.257
01231307771	35.315	129.173
01231307563	35.23	129.157
01231307275	35.208	129.123
01231315852	36.694	126.831
01227587232	35.934	128.305
01231315583	35.821	127.141
01231300530	36.707	127.73
01227723549	35.187	126.908
01231300299	36.84	127.129
01231300300	36.694	126.831
01231300177	36.885	126.733
01231307782	35.338	128.193
01231300121	36.84	127.129
01231300113	36.659	126.687
01227587565	35.728	128.273
01231307757	35.196	128.816
01231300014	36.889	126.638
01231300104	36.659	126.687
01227587243	35.694	128.444
01231307403	35.275	128.348
01231314414	35.949	126.954
01227728357	35.187	126.908
01227587974	36.889	126.638
01231300066	34.829	127.359
01231307207	35.437	129.31
01231300208	36.602	126.676
01231307877	35.428	126.689
01231307755	35.438	129.306
01227587405	35.694	128.444
01231315679	35.81	127.088
01231300017	36.959	126.698
01231315754	35.959	126.959
01231308408	35.42	126.56
01231300153	36.706	127.147
01231308149	35.342	126.599
01231300141	34.622	127.287
01231315847	35.836	127.101
01231308278	35.53	126.52
01227579391	36.431	128.668
01231315713	35.83	127.116
01231308216	35.518	126.702
01231315652	35.947	126.986
01227588055	34.8	127.654
01231307396	36.072	126.96
01231308154	36.01	126.941
01227587513	35.902	128.613
01231315586	35.836	127.153
01231315872	35.834	127.12
01231308217	35.658	127.267
01231315681	35.849	127.158
01231315706	35.959	126.769
01231308130	35.848	127.118
01231315762	35.911	126.754
01231315770	35.722	126.731
01231315826	35.86	127.082
01231307620	34.936	128.079
01227587159	35.902	128.613
01231308080	35.877	127.029
01227588050	35.14	126.801
01231321559	37.519	126.89
01231315819	35.908	127.754
01231321549	37.519	126.89
01227587347	35.647	128.74
01231307705	35.314	128.746
01231307523	35.314	128.746
01231307794	35.088	128.097
01231307574	35.088	128.097
01231300524	36.171	127.785
01231315891	35.999	127.79
01231315662	35.712	126.672
01231315844	35.969	126.622
01231315702	35.97	126.737
01227587649	36.322	128.648
01231307306	34.927	128.072
01231315771	35.925	126.645
01231315856	35.964	126.702
01231315587	35.705	126.586
01231321626	37.496	126.856
01231321527	37.496	126.856
01227728360	35.113	126.852
01231315814	35.945	126.686
01231321636	37.496	126.856
01231321526	37.496	126.856
01231308323	35.502	126.793
01227588060	34.529	127.137
01231307560	35.191	128.066
01227587156	35.873	128.712
01231315756	35.973	126.703
01227728961	35.306	126.781
01227587742	36.268	128.677
01231307584	35.178	128.064
01231308368	35.493	126.928
01231308164	36.012	127.662
01231307927	35.132	129.095
01231300034	35.306	126.781
01231307911	35.164	128.912
01231307619	35.195	128.078
01227587878	34.554	127.386
01227587534	35.873	128.712
01231308314	35.566	126.852
01231307910	35.474	127.503
01231308075	35.132	129.095
01231308176	35.413	127.391
01231308226	35.575	126.843
01231307456	35.193	128.085
01231321676	37.497	126.992
01231307570	35.177	128.091
01231321460	37.497	126.992
01231308316	35.58	126.854
01227587754	34.605	127.28
01231308354	35.593	126.85
01231308317	35.408	127.382
01231308356	35.421	127.393
01231307419	35.177	128.117
01231315857	35.786	127.13
01231308211	35.854	126.817
01231308200	35.8	126.886
01231308406	35.479	126.928
01231315739	35.812	127.147
01231315859	35.802	127.148
01227587349	36.551	128.996
01231315634	35.788	126.998
01231300446	37.65	127.076
01231308381	35.382	127.223
01231315782	35.8	127.189
01231300363	37.543	126.952
01231300185	37.685	127.045
01231300364	37.674	127.054
01231315750	35.717	126.976
01231300237	37.547	126.943
01231300376	37.565	127.012
01231316140	37.578	126.971
01227729687	36.216	127.894
01231315737	35.767	127.377
01227729586	34.979	127.582
01231300435	37.518	126.977
01231300084	34.944	127.534
01231307978	35.781	127.419
01231300149	36.367	127.736
01231316251	37.57	126.972
01231300302	37.53	126.968
01231321612	37.603	126.657
