usim	TF
01231321918 (44)	241.7454753
01227501104 (100)	100
01231321743 (171)	209.0472957
01227587411 (210)	100
01227587886 (212)	100
01227587745 (216)	192.3423781
01227587825 (217)	256.8976478
01227587639 (218)	100
01231321443 (220)	257.6888724
01227587919 (221)	100
01227587569 (222)	100
01227587389 (223)	211.5697236
01227587481 (224)	100
01227587846 (225)	188.2407694
01227587849 (226)	214.9943411
01227587328 (227)	100
01227587875 (228)	277.3255215
01227579483 (229)	248.1461112
01227587752 (231)	174.3268625
01227587392 (233)	306.2558443
01227587621 (234)	100
01227587626 (236)	281.2583914
01227587738 (237)	238.0192492
01227587438 (238)	100
01227587446 (239)	144.9796028
01227587663 (240)	305.9428322
01227587231 (241)	168.8141489
01227587614 (242)	100
01227587615 (243)	100
01227587792 (244)	100
01227587705 (245)	100
01227500700 (246)	100
01227587662 (247)	100
01227587642 (248)	100
01227587106 (249)	213.9677339
01227587721 (250)	100
01227587667 (251)	223.8089923
01227587190 (252)	287.3364632
01227587547 (253)	232.7697839
01227587079 (254)	296.8733998
01227587404 (255)	151.8404357
01227587596 (256)	100
01227587550 (257)	100
01227587851 (258)	100
01227587743 (259)	100
01227587749 (260)	213.9677339
01227587673 (261)	100
01227587624 (262)	100
01227587519 (263)	238.0192492
01227587383 (264)	281.2583914
01227587330 (265)	100
01227587785 (267)	133.7986556
01227587320 (268)	220.3585512
01227587362 (269)	284.7457578
01227509914 (270)	208.9766924
01227579562 (271)	274.5219116
01227587572 (272)	266.9046772
01227587630 (273)	221.4614727
01227587025 (274)	100
01227587394 (276)	185.4425555
01227587712 (277)	100
01227587401 (278)	204.180291
01227587881 (279)	183.6357849
01227587548 (280)	100
01227587793 (281)	100
01227587475 (283)	281.6453494
01227587856 (286)	100
01227587820 (287)	260.7347026
01227587833 (288)	242.0260195
01227587633 (289)	100
01227587841 (291)	231.1035863
01227587869 (293)	213.6133386
01227587114 (294)	100
01227587357 (295)	100
01227587582 (296)	100
01227587527 (297)	267.4852409
01227587400 (298)	239.6805401
01227587546 (299)	177.6312787
01227587559 (300)	222.9339294
01227587388 (301)	100
01227587695 (303)	100
01227587578 (305)	270.5302457
01227587646 (306)	100
01227587685 (307)	100
01227587817 (308)	168.8141489
01227587509 (309)	100
01227587822 (310)	100
01227587622 (311)	100
01227500595 (312)	100
01227587697 (314)	267.2981986
01227587813 (315)	100
01227587798 (316)	267.4852409
01231300268 (317)	264.7465198
01227587593 (318)	252.0443448
01231300106 (320)	100
01227587467 (321)	100
01227587148 (322)	146.134941
01227587483 (323)	100
01231300092 (324)	216.1551486
01227728286 (325)	100
01227587369 (326)	100
01227587771 (327)	287.6553159
01227587623 (328)	100
01227587486 (329)	233.6566055
01231300120 (330)	100
01231300129 (331)	220.6586709
01227587341 (332)	250.177211
01231307908 (334)	100
01227587515 (335)	185.4425555
01227587666 (336)	100
01227587387 (337)	100
01227587552 (338)	100
01231307992 (339)	100
01227587681 (340)	100
01227587492 (342)	100
01227587103 (343)	100
01231307479 (344)	100
01227587588 (345)	100
01227587595 (346)	147.7847343
01227587767 (347)	100
01227587612 (348)	100
01231300485 (350)	250.078958
01231307598 (352)	245.2984671
01227587658 (353)	229.6570447
01231300006 (354)	100
01231307607 (355)	100
01231307607 (356)	100
01227721327 (357)	100
01227587497 (360)	121.5392744
01227587698 (361)	304.8704016
01227587493 (362)	153.1053367
01231300018 (363)	250.177211
01227587711 (364)	100
01231300028 (365)	100
01231307735 (369)	250.177211
01227587600 (370)	100
01227587093 (371)	227.6796579
01231300252 (372)	100
01231307752 (374)	208.5171111
01231300574 (375)	281.2583914
01231307872 (376)	233.6566055
01227588061 (378)	248.1461112
01227588053 (379)	221.3778058
01227587249 (382)	100
01227586650 (385)	226.0364181
01231307618 (386)	100
01227587911 (387)	255.351654
01231307976 (388)	100
01231300189 (389)	100
01227588033 (390)	280.3687412
01231307972 (391)	315.6047611
01227588077 (392)	100
01231300227 (393)	100
01231307716 (394)	100
01227587725 (395)	100
01227587485 (396)	121.5392744
01231300007 (397)	296.0248829
01227587471 (398)	153.1053367
01227729736 (399)	231.3973371
01231300316 (400)	264.665193
01227729488 (401)	250.177211
01231307795 (403)	182.9200248
01231307748 (404)	259.3765011
01227587031 (405)	185.4425555
01231300308 (406)	100
01227723476 (407)	234.4856525
01231300584 (408)	100
01231300144 (409)	100
01231300067 (410)	100
01231300022 (411)	100
01231300083 (412)	100
01231307572 (413)	259.3765011
01231307533 (414)	157.1020711
01231308024 (415)	296.0248829
01231300436 (416)	100
01231300052 (417)	100
01231307906 (418)	268.2353306
01231307672 (419)	250.655869
01231308165 (420)	133.4328231
01231300071 (421)	100
01231307934 (422)	100
01231307547 (423)	100
01231300504 (424)	208.5171111
01231300333 (426)	147.7847343
01231300137 (427)	141.660958
01231307823 (428)	197.0403691
01231307410 (429)	300.5171236
01227723653 (430)	100
01227587834 (431)	100
01227727556 (432)	100
01231307569 (433)	255.1850745
01227588038 (434)	100
01231300105 (435)	100
01231300367 (436)	233.6566055
01231307602 (437)	145.5232965
01231307713 (438)	245.4781531
01231300549 (439)	157.1020711
01227587671 (440)	100
01231300314 (441)	239.6805401
01231300281 (442)	145.9514014
01231300233 (443)	227.6796579
01231307278 (444)	100
01227729624 (445)	168.3345407
01231307601 (446)	292.7172004
01227587448 (447)	185.4425555
01231307512 (448)	292.7172004
01227587539 (449)	250.177211
01231300049 (450)	161.7428803
01231300309 (451)	242.0173323
01227587470 (452)	100
01227587293 (453)	242.8506969
01227587508 (454)	237.5401385
01231307770 (455)	242.8506969
01227587575 (456)	100
01231300155 (457)	192.3423781
01231300283 (458)	267.4852409
01231307626 (459)	100
01231307771 (460)	100
01231307563 (461)	282.4767741
01231307275 (462)	100
01231300057 (463)	185.4425555
01227587232 (464)	100
01227587058 (465)	100
01231315583 (466)	206.210097
01231300530 (467)	100
01227723549 (468)	250.177211
01231300299 (469)	285.7863823
01231300300 (470)	250.177211
01231300177 (471)	100
01231307782 (472)	100
01231300121 (473)	255.349441
01231300113 (474)	100
01227587565 (476)	100
01231307757 (477)	250.177211
01231300014 (478)	192.3423781
01231300104 (479)	100
01227587243 (480)	177.6312787
01231307403 (481)	100
01231314414 (482)	100
01227728357 (483)	185.4425555
01227587974 (484)	259.3765011
01231300066 (485)	100
01231307207 (486)	245.4781531
01231300208 (487)	267.4852409
01231307877 (488)	100
01231307755 (489)	216.3044845
01227587405 (490)	239.6805401
01231315679 (491)	100
01231300017 (492)	259.3765011
01231315754 (493)	100
01231308408 (494)	100
01231300153 (495)	100
01231308149 (496)	100
01231300141 (497)	100
01231315847 (498)	161.7428803
01227587561 (499)	238.0192492
01231308278 (500)	100
01227579391 (501)	100
01231315713 (502)	197.9258462
01231308216 (503)	100
01231315652 (504)	100
01227588055 (505)	151.8404357
01231307396 (506)	100
01231308154 (507)	100
01227587513 (508)	165.7694358
01231315586 (509)	100
01231315872 (510)	219.8264241
01231308217 (511)	100
01231315681 (512)	229.3311286
01231315706 (513)	129.0799631
01231315693 (515)	100
01231308130 (516)	100
